Fecha,CodigoFecha,SBS
07Ene99,526,3.187
08Ene99,527,3.195
11Ene99,528,3.197
12Ene99,529,3.202
13Ene99,530,3.251
14Ene99,531,3.289
15Ene99,532,3.291
18Ene99,533,3.244
19Ene99,534,3.252
20Ene99,535,3.253
21Ene99,536,3.269
22Ene99,537,3.28
25Ene99,538,3.298
26Ene99,539,3.326
27Ene99,540,3.332
28Ene99,541,3.341
29Ene99,542,3.358
01Feb99,543,3.372
02Feb99,544,3.376
03Feb99,545,3.397
04Feb99,546,3.394
05Feb99,547,3.39
08Feb99,548,3.39
09Feb99,549,3.393
10Feb99,550,3.383
11Feb99,551,3.391
12Feb99,552,3.399
15Feb99,553,3.391
16Feb99,554,3.381
17Feb99,555,3.385
18Feb99,556,3.389
19Feb99,557,3.395
22Feb99,558,3.409
23Feb99,559,3.424
24Feb99,560,3.424
25Feb99,561,3.444
26Feb99,562,3.443
01Mar99,563,3.417
02Mar99,564,3.396
03Mar99,565,3.396
04Mar99,566,3.405
05Mar99,567,3.412
08Mar99,568,3.415
09Mar99,569,3.406
10Mar99,570,3.404
11Mar99,571,3.398
12Mar99,572,3.376
15Mar99,573,3.355
16Mar99,574,3.354
17Mar99,575,3.376
18Mar99,576,3.357
19Mar99,577,3.352
22Mar99,578,3.365
23Mar99,579,3.389
24Mar99,580,3.396
25Mar99,581,3.385
26Mar99,582,3.378
29Mar99,583,3.363
30Mar99,584,3.348
31Mar99,585,3.338
01Abr99,586,2.6
02Abr99,587,2.6
05Abr99,588,3.349
06Abr99,589,3.356
07Abr99,590,3.37
08Abr99,591,3.368
09Abr99,592,3.364
12Abr99,593,3.364
13Abr99,594,3.361
14Abr99,595,3.347
15Abr99,596,3.349
16Abr99,597,3.351
19Abr99,598,3.346
20Abr99,599,3.343
21Abr99,600,3.348
22Abr99,601,3.349
23Abr99,602,3.348
26Abr99,603,3.352
27Abr99,604,3.346
28Abr99,605,3.336
29Abr99,606,3.346
30Abr99,607,3.34
03May99,608,3.335
04May99,609,3.329
05May99,610,3.333
06May99,611,3.339
07May99,612,3.342
10May99,613,3.337
11May99,614,3.327
12May99,615,3.329
13May99,616,3.324
14May99,617,3.327
17May99,618,3.331
18May99,619,3.324
19May99,620,3.328
20May99,621,3.326
21May99,622,3.333
24May99,623,3.339
25May99,624,3.356
26May99,625,3.344
27May99,626,3.334
28May99,627,3.332
31May99,628,3.336
01Jun99,629,3.336
02Jun99,630,3.339
03Jun99,631,3.337
04Jun99,632,3.339
07Jun99,633,3.339
08Jun99,634,3.344
